family,bf,seed,completed,last_step,last_val,table_rows,store_dim,table_params,log
hot-split full dedup aux,300,5,0,750,5.351900,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv6_full32_auxslots2_aux0025_dedupaux_seed5_1500_20260610.txt
hot-split full dedup aux decay,300,5,0,750,5.353000,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv7_full32_auxslots2_aux0025to0_s500_500_dedupaux_seed5_1500_20260610.txt
hot-split full detach decay,300,5,0,1000,3.502500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv8_full32_auxslots2_aux005to0_s500_500_detachaux_seed5_1500_20260610.txt
hot-split full detach-aux,300,5,0,250,8.520300,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv4_full128_auxslots2_aux0025_detachaux_seed5_1500_20260610.txt
hot-split full detach-aux,300,5,0,500,7.236600,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv4_full32_auxslots2_aux0025_detachaux_seed5_1500_20260610.txt
hot-split full detach-aux,300,5,1,1500,3.246200,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv4_full32_auxslots2_aux005_detachaux_seed5_1500_20260610.txt
hot-split full grad hook,300,5,0,500,7.244100,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_gradhook_seed5_1500_20260611.txt
hot-split full grad hook start500,300,5,0,1000,3.501400,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_gradhookstart500_manualfp32start1000_seed5_1500_20260611.txt
hot-split full grad hook start500,300,5,0,1000,3.501400,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_gradhookstart500_manualstart1000_seed5_1500_20260611.txt
hot-split full grad hook start500,300,5,0,1000,3.501400,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_gradhookstart500_seed5_1500_20260611.txt
hot-split full grad hook start500,300,6,0,1000,3.503100,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_gradhookstart500_seed6_1500_20260611.txt
hot-split full grad hook start501,300,5,0,500,7.232500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_gradhookstart501_seed5_1500_20260611.txt
hot-split full manual coalesce,300,5,0,500,7.236100,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv3_full128_auxslots2_aux0025_manualcoalesce_seed5_1500_20260610.txt
hot-split full manual coalesce,300,5,0,500,7.240000,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv3_full32_auxslots2_aux0025_manualcoalesce_rerun_seed5_1500_20260611.txt
hot-split full manual coalesce,300,5,0,500,7.234500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv3_full32_auxslots2_aux0025_manualcoalesce_seed5_1500_20260610.txt
hot-split full superpose,300,5,0,500,7.233000,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full128_auxslots2_aux0025_seed5_1500_20260610.txt
hot-split full superpose,300,5,0,500,7.232500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_rerun2_seed5_1500_20260611.txt
hot-split full superpose,300,5,0,500,7.232500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv2_full32_auxslots2_aux0025_seed5_1500_20260610.txt
hot-split full train-only,300,5,0,1000,3.502700,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplitv9_full32_auxslots2_aux005_trainonly_detachaux_seed5_1500_20260610.txt
hot-split value-only,300,5,0,1250,3.346500,30182422,384,11590050048,bf300_sota_k2_headmix_norowsigns_hotsplit_valueonly16384_auxslots2_aux0025_seed5_1500_20260610.txt
hot-split value-only + layer delta,300,5,0,250,8.522700,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplit_valueonly128_auxslots2_aux0025_seed5_1500_20260610.txt
hot-split value-only + layer delta,300,5,0,500,7.238500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_hotsplit_valueonly16384_auxslots2_aux0025_seed5_1500_20260610.txt
inverse FAL scalar Adam,300,5,1,1500,3.245800,30182422,384,11590050048,bf300_sota_k2_headmix_ifal025to4_seed5_1500_20260610.txt
inverse FAL scalar Adam,400,5,1,1500,3.244600,40243242,384,15453404928,bf400_sota_k2_headmix_ifal025to4_seed5_1500_20260610.txt
inverse FAL scalar Adam,400,5,0,1000,3.500700,40243242,384,15453404928,bf400_sota_k2_headmix_norowsigns_ifalsched_seed5_1500_20260610.txt
late AttnRes extra 1.25,300,5,0,500,7.245500,30182422,384,11590050048,bf300_sota_k2_headmix_layerdelta_norowsigns_attnresextra5to8_biasm2_scale0to1p25_s500_500_seed5_1500_20260611.txt
