row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2
1281617,22366,4.349607737748074,1.945134,-13.772292,1.954565,4.184597,-0.83109444
1281880,16192,4.209327315878065,1.8147781,4.2542667,5.2906427,-0.67874354,-0.39231
1282959,234,2.3710678622717363,0.7800575,-2.3092752,-2.4969444,1.8634579,0.9178737
1283224,656,2.8175653695597807,1.3790487,-1.6125964,-1.0402566,3.0891843,2.2412508
1283417,2910,3.464042205438811,1.655118,-2.7387052,2.031183,-0.7747338,-1.8295029
1284201,14,1.1760912590556813,0.2843351,0.39041805,-0.54923564,-0.71610475,0.8669212
1284699,3301,3.518777068926775,1.7357765,-3.511232,-1.7501057,-0.7176411,1.8444986
1284746,72,1.863322860120456,0.5044131,-0.06175377,-1.5575272,-0.12553757,1.3347614
1284794,72,1.863322860120456,0.5237054,0.017034251,-1.4066101,-1.0330664,0.9902743
1285015,3194,3.504470862494419,1.7978287,-2.0056129,1.9664886,0.69994354,-1.4856642
1285340,19386,4.2875106103037455,1.8232957,1.6806926,-3.8613226,-1.8677899,2.4420512
1285552,15,1.2041199826559248,0.20685491,-0.03483313,-0.23831987,2.3844597,0.89337564
1286311,16,1.2304489213782739,0.3069237,0.7124382,-0.66244525,-3.943358,2.7859912
1286328,20,1.3222192947339193,0.2625172,0.641004,-0.5779477,-2.8534791,0.40667614
1286699,3149,3.4983105537896004,1.8572193,-7.81466,0.6670644,2.4172056,-0.57105356
1286741,16,1.2304489213782739,0.3424291,0.7739103,-0.57065576,-0.52219045,1.6451619
1286811,257,2.41161970596323,0.7637306,1.5603188,-2.3173301,-2.1728907,5.1730194
1287021,17,1.255272505103306,0.2796127,-0.23495932,-1.1219926,0.9104976,-0.073561065
1287030,38328,4.583527488700029,1.94361,1.4740076,4.806107,0.06351425,-1.6748875
1287200,21,1.3424226808222062,0.28987703,0.91709757,0.8229078,-0.6006121,-2.2688143
1287395,66,1.8260748027008264,0.3454705,0.6930244,0.059578817,-1.3818607,-0.59697896
1287564,8,0.9542425094393249,0.23960207,0.8544593,-1.3661222,-0.5246722,4.3251915
1287619,22,1.3617278360175928,0.33278775,0.88021356,-1.03924,-2.6417427,0.35176474
1287792,10,1.0413926851582251,0.27017468,0.29337788,-0.8621012,-0.38691497,0.602707
1287859,9,1.0,0.2844166,0.017934581,0.23362772,0.8033439,-1.0049808
1287910,27,1.4471580313422192,0.31614122,0.031626724,-0.45942834,0.22787811,-1.7551116
1288107,42945,4.6329227197661975,2.0913491,-4.867194,-3.2201571,4.206213,3.7847686
1288234,3002,3.477555332198981,1.8378066,-7.6292953,4.187563,1.3270075,-4.2532225
1288302,11,1.0791812460476249,0.31565514,0.27759498,-0.24419014,-0.14043261,-0.3933623
1288522,12998,4.113909943754037,1.7418698,-5.944455,-1.4028447,5.00979,1.3495392
1288562,38,1.591064607026499,0.35513404,0.2057279,-1.3219573,0.6766124,1.3231808
1288597,690,2.8394780473741985,1.2889488,0.3445072,0.892148,1.2383976,0.6777182
1289049,14808,4.170525733123182,1.8903266,-2.7666302,0.7982043,0.96692455,2.0822442
1289354,19,1.3010299956639813,0.29674858,-0.54874206,-0.6207658,4.54421,-0.255019
1289413,16842,4.226419448648603,1.9455075,1.8411645,0.9377037,0.026095124,-0.50397646
1289478,3297,3.5182506513085,1.666004,3.2658436,3.9150643,0.22876622,0.75555736
1289996,40541,4.607905169308618,1.8973628,0.3335778,8.916585,1.3954648,-1.895291
1290299,142,2.155336037465062,0.653092,0.33667552,-2.8939328,1.2656747,7.620674
1290993,78591,4.895378340789036,1.8476385,-8.325799,2.2618918,2.6310802,-0.4742375
1291140,7,0.9030899869919435,0.23490818,0.37573212,0.31658208,1.7536633,-1.5450374
1291221,39,1.6020599913279623,0.3753442,-0.14638327,-0.80617166,2.246539,3.3690464
1291557,14,1.1760912590556813,0.2722956,0.31905493,-0.24940561,0.9620129,-1.4800965
1292099,4578,3.660770643527697,1.8302802,2.1332881,1.752895,-0.41843462,0.7031415
1292142,151,2.1818435879447726,0.6752653,2.0770953,0.3993707,-0.07472121,0.88474095
1292227,30,1.4913616938342726,0.32573175,0.44904563,0.21770218,1.3405207,0.48591828
