row,hit_count,log10_hit,row_rms,pca_raw_1,pca_raw_2,pca_dir_1,pca_dir_2,umap_1,umap_2
1416350,777,2.890979596989689,1.3670588,-5.3662577,5.090653,0.48679972,-4.6608853,1.7769582,13.539093
7469072,716,2.8555191556678,1.3666661,3.7738361,-0.45012966,-3.4209409,0.56581646,5.812282,7.269309
4457251,142,2.155336037465062,0.60025173,-0.57609177,-0.85090774,-0.7295561,-0.6907352,6.594032,8.205845
5846414,137,2.1398790864012365,0.6062525,0.21162169,-0.33997747,1.6010437,1.0879518,4.87859,7.4921885
243159,14608,4.164620489079711,1.8677183,4.310715,3.854753,-2.0399098,-0.8118822,1.0545475,8.798728
7101477,126,2.103803720955957,0.6730014,-1.3194274,0.023237975,2.4964967,0.23723222,6.0246263,9.052371
3995388,20,1.3222192947339193,0.29068512,-0.041846983,-1.1232653,0.23935354,0.52377,2.2726557,9.476903
6659810,7489,3.8744818176994666,1.8984512,-0.056986425,-2.6706016,0.2583258,0.10741631,6.245798,7.7796206
5571051,113,2.0569048513364727,0.5256702,0.5438323,-0.82090986,0.5384038,0.45054582,6.8400183,8.856226
964162,169871,5.2301218000131025,1.7929312,-2.956983,3.2550313,-0.7291451,-1.3059103,1.3731372,13.161796
3242727,66,1.8260748027008264,0.5216908,-0.3711356,-0.0060170637,6.1883473,-0.9030208,3.0701106,11.917198
889178,29433,4.468849285541113,1.7787058,2.6928518,3.7162645,-0.83496535,-0.2024257,1.1998549,9.040447
2501222,71,1.8573324964312685,0.42953184,-0.6539,0.33570582,3.1844332,-1.0082661,2.6186674,12.720623
1369689,152,2.184691430817599,0.7159668,0.03703124,-2.187965,0.42601344,-0.08214679,2.2432783,10.679524
1602421,19655,4.2934951434720245,1.9317734,5.412647,2.2806551,-1.3431002,-0.26806456,0.9982151,8.775647
2180693,4516,3.654850090561394,1.8248526,-3.9511778,0.4874807,3.4698606,-1.3909665,3.0297375,12.6675205
1683299,10,1.0413926851582251,0.27127045,0.6812643,-0.35037273,0.62702876,0.01205488,3.5927105,10.044986
1223260,50,1.7075701760979363,0.37064338,0.27223808,-0.48447135,-0.19452664,1.718817,2.0495596,12.166768
1261057,40886,4.611585246253951,1.8271881,-11.494514,-0.5561631,5.5807605,1.5391334,2.7919095,12.886648
7193383,91,1.9637878273455553,0.5428227,1.053376,-0.7493064,0.79621357,-0.3219861,6.594363,8.793525
207823,37,1.5797835966168101,0.3679013,0.52666736,0.044720832,1.1343305,1.0064895,1.1477084,7.910531
2039095,356,2.552668216112193,0.9049348,1.330728,-0.0048249215,0.15848096,0.61469704,2.422967,12.643886
2687245,7,0.9030899869919435,0.2081195,0.021809423,0.35254255,1.3612732,-1.4289478,1.2433178,9.800376
2931267,29,1.4771212547196624,0.33265057,0.16897628,0.105080694,0.5316018,-2.313372,1.9716746,11.489037
7373733,90,1.9590413923210936,0.54002124,0.38416627,-0.34940633,-0.51427364,-0.70607346,6.33803,8.320879
45471,117,2.0718820073061255,0.6371637,1.6956775,-4.109758,-0.8260126,6.758609,2.8283641,11.671808
