head_idx,ngram,hash_head,row,absolute_row,count,avg_gate,avg_output_norm,example_ngram_text
11,3,5,4073843,58855574,88,0.86482090,10464.91699219,\n“
2,2,2,4070778,14030978,58,0.86093825,10462.44921875,. He
7,3,1,991529,35852478,123,0.88407880,10452.45117188,.”
2,2,2,4867339,14827539,164,0.92352474,10418.85742188,\n|
0,2,0,4155565,4155565,254,0.90362191,10409.40625000,  a
2,2,2,3095857,13056057,65,0.91605067,10381.45117188,I�
0,2,0,4070778,4070778,58,0.87046635,10374.71093750,. He
0,2,0,598662,598662,156,0.88799137,10362.31347656,. This
5,2,5,354821,25255422,109,0.95040387,10361.13574219,)\n
4,2,4,4070778,23991218,58,0.89169735,10357.78417969,. He
4,2,4,2431623,22352063,133,0.90841293,10353.94726562,  which
5,2,5,2431543,27332144,133,0.90955663,10346.79101562,  which
9,3,3,2938504,47759831,101,0.93907559,10346.14746094, ”
11,3,5,1738141,56519872,70,0.93004030,10336.02929688,”\n
7,3,1,2455657,37316606,70,0.92997479,10286.89257812, One of the
8,3,2,40960,39882096,31,0.92135602,10228.28027344, you’
6,3,0,1738309,31619079,70,0.94268429,10225.38378906,”\n
7,3,1,40992,34901941,31,0.90734053,10216.34472656, you’
2,2,2,355045,10315245,109,0.94765043,10213.71679688,)\n
1,2,1,4155565,9135662,254,0.88547206,10212.19824219,  a
4,2,4,2226257,22146697,86,0.96610081,10211.46582031,  with
1,2,1,3095867,8075964,65,0.91426736,10202.55859375,I�
5,2,5,1715413,26616014,111,0.92756712,10158.16699219,\nI
3,2,3,3068841,18009154,44,0.93587840,10122.20214844,�re
3,2,3,2738544,17678857,105,0.86173719,10106.01269531,\nIn
11,3,5,991393,55773124,123,0.86802095,10093.15820312,.”
4,2,4,2939521,22859961,127,0.87921935,10090.04589844,.�
1,2,1,4070778,9050875,58,0.87307608,10085.42968750,. He
3,2,3,354989,15295302,109,0.94857913,10078.79394531,)\n
0,2,0,3159270,3159270,88,0.88170713,10077.36621094, it�
5,2,5,2877385,27777986,71,0.91653508,10040.82617188, There is
4,2,4,2259309,22179749,98,0.85993600,10035.65039062,. If
4,2,4,428650,20349090,72,0.93354064,10035.16796875,. They
5,2,5,262117,25162718,88,0.85825574,10012.28515625, it�
3,2,3,874084,15814397,80,0.91095895,10006.61523438, as well
4,2,4,1843186,21763626,148,0.90216845,9983.67578125,. In
0,2,0,2977163,2977163,101,0.85642684,9964.72070312, �
1,2,1,1715413,6695510,111,0.91914475,9938.36914062,\nI
2,2,2,4155565,14115765,254,0.88122725,9937.76171875,  a
5,2,5,4070778,28971379,58,0.87988448,9935.42285156,. He
0,2,0,2490325,2490325,157,0.92624331,9917.94921875,|\n
2,2,2,2977163,12937363,101,0.82048947,9910.91894531, �
0,2,0,2940033,2940033,127,0.85812187,9906.74023438,.�
2,2,2,1715413,11675613,111,0.91501695,9905.22851562,\nI
4,2,4,3095809,23016249,65,0.89814931,9892.66601562,I�
1,2,1,3135335,8115432,101,0.92532003,9891.79980469, �
10,3,4,1375021,51176541,43,0.92656440,9889.42871094,’re
1,2,1,2019903,7000000,58,0.93150967,9879.26953125,. He
1,2,1,4867369,9847466,164,0.89259011,9878.18164062,\n|
0,2,0,3095873,3095873,65,0.93562239,9861.09179688,I�
0,2,0,874264,874264,80,0.90021485,9831.23242188, as well
5,2,5,3134807,28035408,101,0.92553389,9825.70898438, �
9,3,3,4648057,49469384,47,0.88482106,9820.11328125, DON’
0,2,0,2432263,2432263,133,0.89102852,9809.74316406,  which
2,2,2,170539,10130739,135,0.90228391,9804.90136719,. We
6,3,0,41056,29921826,31,0.91307157,9791.61816406, you’
4,2,4,1768889,21689329,74,0.96741343,9782.79296875, it.
3,2,3,1526097,16466410,254,0.77526557,9777.37792969,  a
3,2,3,3280096,18220409,185,0.69799227,9773.22656250, as a
3,2,3,3751820,18692133,124,0.88590682,9772.78125000,  or
3,2,3,1715413,16655726,111,0.90574795,9706.96972656,\nI
4,2,4,3257504,23177944,206,0.85871422,9697.65722656,.<|endoftext|>
0,2,0,3845596,3845596,59,0.95605165,9691.25292969,  he
5,2,5,170147,25070748,135,0.90352398,9687.58496094,. We
2,2,2,3354904,13315104,64,0.87117457,9681.40820312, and I
3,2,3,815374,15755687,74,0.91187763,9677.82812500,  so
7,3,1,1599305,36460254,70,0.92825228,9675.40429688,”\n
6,3,0,4697183,34577953,43,0.88524342,9673.59863281,’re
4,2,4,2992895,22913335,70,0.92346835,9669.30664062,�\n
6,3,0,1015991,30896761,101,0.93392754,9668.21582031, ”
2,2,2,2878001,12838201,71,0.90565139,9666.74023438, There is
4,2,4,2490261,22410701,157,0.91950190,9652.47949219,|\n
0,2,0,642211,642211,77,0.92238092,9648.37207031,. But
1,2,1,3303208,8283305,206,0.84809327,9631.62402344,.<|endoftext|>
4,2,4,2019613,21940053,58,0.91993034,9622.57324219,. He
4,2,4,3134871,23055311,101,0.92537236,9620.09179688, �
0,2,0,3283257,3283257,41,0.94534022,9610.64453125,\nWe
10,3,4,3601576,53403096,71,0.92327464,9603.05664062,. “
5,2,5,2490253,27390854,157,0.92089319,9602.14453125,|\n
8,3,2,1015943,40857079,101,0.92761636,9601.99609375, ”
0,2,0,1715413,1715413,111,0.90479904,9599.63085938,\nI
1,2,1,2993127,7973224,70,0.92293906,9590.44531250,�\n
1,2,1,598614,5578711,156,0.88396424,9580.39941406,. This
1,2,1,3068937,8049034,43,0.88352472,9576.90332031,�re
5,2,5,2977163,27877764,101,0.81171876,9566.04003906, �
5,2,5,3251200,28151801,206,0.85588294,9565.37695312,.<|endoftext|>
0,2,0,3135383,3135383,101,0.92113972,9538.57519531, �
0,2,0,1768953,1768953,74,0.96745330,9538.07421875, it.
1,2,1,1069700,6049797,32,0.96205449,9525.95703125, you�
1,2,1,355085,5335182,109,0.93464577,9525.20898438,)\n
7,3,1,1015959,35876908,101,0.93269289,9523.21386719, ”
3,2,3,4301089,19241402,153,0.90167993,9517.15234375,\n"
4,2,4,170203,20090643,135,0.89988327,9495.54492188,. We
10,3,4,40800,49842320,31,0.93612427,9495.22265625, you’
9,3,3,1015935,45837262,101,0.92417824,9490.95898438, ”
7,3,1,2938546,37799495,101,0.87335962,9485.47851562, ”
4,2,4,2743190,22663630,128,0.82669377,9477.91699219,If you
1,2,1,428708,5408805,72,0.88510197,9455.24414062,. They
2,2,2,3068897,13029097,43,0.93957251,9454.82324219,�re
2,2,2,2993087,12953287,71,0.93942475,9448.62792969,�\n
0,2,0,3307936,3307936,206,0.85096139,9437.13378906,.<|endoftext|>
5,2,5,1768881,26669482,74,0.96564060,9434.31933594, it.
4,2,4,4300987,24221427,153,0.90280908,9418.49218750,\n"
8,3,2,2455637,42296773,70,0.87944221,9414.04785156, One of the
11,3,5,4914048,59695779,88,0.80650479,9410.15234375, it’
10,3,4,1015863,50817383,101,0.91939104,9392.17480469, ”
